BUB1 DNMT1 label
E5.14.1807 416 91 E5
E5.37.3235 4685 2604 E5
E5.42.3329 292 443 E5
E3.47.3393 331 2086 E3
E5.13.1769 6 4 E5
E3.47.3392 102 2601 E3
E3.48.3399 215 3292 E3
E5.12.1029 0 160 E5
E5.42.3332 1940 288 E5
E5.5.97 3798 79 E5
E5.13.1770 81 165 E5
E5.13.1756 43 17 E5
E5.12.1039 442 197 E5
E3.52.3431 478 9528 E3
E5.7.676 417 138 E5
E5.14.1923 253 149 E5
E5.early.31.3071 286 148 E5
E3.49.3405 226 6022 E3
E5.early.36.3220 2172 195 E5
E3.53.3435 11 417 E3
E3.46.3384 162 840 E3
E3.51.3422 1171 33538 E3
E5.43.3356 3256 489 E5
E3.2.453 828 65749 E3
E5.14.1794 323 95 E5
E3.52.3428 402 12444 E3
E5.2.38 301 17 E5
E5.early.36.3225 677 400 E5
E5.9.931 171 72 E5
E5.15.1842 473 54 E5
E5.40.3280 122 107 E5
E5.41.3317 91 31 E5
E5.40.3301 3934 1389 E5
E5.13.1757 272 86 E5
E5.7.698 458 21 E5
E5.43.3365 167 720 E5
E5.7.685 317 75 E5
E5.6.368 480 20 E5
E5.12.1036 1202 315 E5
E5.38.3255 760 298 E5
E5.7.674 420 156 E5
E5.43.3359 12 11 E5
E5.7.702 215 24 E5
E5.16.1910 1409 345 E5
E5.16.1889 58 127 E5
E5.7.683 849 259 E5
E5.3.56 2324 246 E5
E5.40.3297 5797 1162 E5
E5.12.1033 150 119 E5
E3.51.3421 1536 49891 E3
E5.40.3288 498 388 E5
E3.48.3401 158 10186 E3
E5.40.3290 838 287 E5
E5.13.1778 571 165 E5
E5.5.96 32515 1123 E5
E5.6.364 1243 61 E5
E5.15.1821 4 5 E5
E5.40.3300 25 3 E5
E5.41.3324 943 484 E5
E5.early.36.3219 333 85 E5
E5.10.934 1 5 E5
E5.14.1795 1089 357 E5
E5.39.3262 501 362 E5
E5.15.1825 1 339 E5
E3.51.3423 464 10192 E3
E5.13.1780 238 149 E5
E5.40.3285 42 117 E5
E5.12.1031 210 97 E5
E5.1.30 478 131 E5
E5.7.697 681 227 E5
E5.10.941 23 12 E5
E5.7.691 1425 413 E5
E5.15.1827 1115 873 E5
E5.15.1822 147 1 E5
E5.40.3289 711 90 E5
E3.49.3406 906 4433 E3
E5.7.688 408 181 E5
E5.15.1844 1140 225 E5
E5.43.3362 123 540 E5
E5.9.930 8 2 E5
E3.52.3433 45 3530 E3
E5.42.3336 2560 191 E5
E5.early.36.3215 877 79 E5
E5.14.1808 12 9 E5
E3.48.3402 188 2892 E3
E5.13.1753 611 283 E5
E3.45.3376 355 10693 E3
E3.49.3403 1016 7312 E3
E5.13.1768 632 137 E5
E3.1.448 112 9753 E3
E5.13.1766 90 133 E5
E5.3.50 957 145 E5
E5.16.1904 5518 369 E5
E5.7.686 509 152 E5
E3.50.3414 410 5699 E3
E5.43.3355 1592 1372 E5
E5.10.947 86 207 E5
E5.11.963 55 65 E5
E5.43.3349 39 44 E5
E5.16.1897 1068 103 E5
E5.16.1896 1166 363 E5
E5.15.1820 69 13 E5
E5.13.1775 599 221 E5
E5.9.924 527 787 E5
E5.16.1900 72 96 E5
E5.8.921 1598 78 E5
E5.8.915 224 70 E5
E3.49.3409 1133 6853 E3
E5.7.687 508 81 E5
E5.40.3294 693 313 E5
E5.7.694 364 174 E5
E5.41.3316 2 18 E5
E5.14.1811 242 14 E5
E5.8.922 704 366 E5
E5.6.382 524 2164 E5
E5.2.40 334 162 E5
E5.16.1905 1518 614 E5
E5.1.26 1274 3084 E5
E5.early.36.3216 537 43 E5
E5.16.1899 55 17 E5
E3.49.3411 1129 5427 E3
E3.52.3429 517 13602 E3
E3.45.3377 123 5570 E3
E3.2.450 133 20993 E3
E5.41.3310 995 331 E5
E5.7.678 158 14 E5
E5.39.3274 1 471 E5
E5.6.363 1482 118 E5
E5.10.940 12 5 E5
E5.40.3292 186 21 E5
E5.40.3278 82 2 E5
E5.5.92 4668 55 E5
E5.2.43 1338 84 E5
E5.7.680 104 71 E5
E3.52.3430 522 8093 E3
E5.40.3279 589 1 E5
E5.37.3237 257 648 E5
E5.37.3246 51 457 E5
E5.early.31.3069 338 96 E5
E5.37.3232 181 158 E5
E5.10.932 87 28 E5
E5.40.3298 4254 337 E5
E5.7.689 1141 436 E5
E5.13.1759 653 576 E5
E3.45.3375 186 5326 E3
E5.15.1837 623 142 E5
E3.49.3408 1541 5031 E3
E5.14.1925 302 106 E5
E5.11.960 83 92 E5
E5.41.3327 515 328 E5
E5.39.3263 782 1310 E5
E5.37.3239 137 75 E5
E5.13.1779 502 98 E5
E5.15.1834 389 203 E5
E5.early.36.3217 902 265 E5
E5.early.31.3060 115 76 E5
E5.37.3240 4 3 E5
E5.3.61 3729 186 E5
E5.13.1761 992 496 E5
E3.4.465 770 74416 E3
E5.13.1762 954 903 E5
E5.41.3318 758 188 E5
E5.15.1826 350 23 E5
E5.16.1901 758 209 E5
E5.41.3313 34 1 E5
E3.53.3438 680 10389 E3
E5.5.99 3331 99 E5
E5.13.1776 619 154 E5
E5.40.3299 2492 449 E5
E5.43.3348 254 536 E5
E5.9.925 897 424 E5
E5.16.1911 1207 358 E5
E5.10.937 289 227 E5
E5.14.1790 227 39 E5
E5.14.1787 579 480 E5
E5.7.706 38 10 E5
E5.43.3354 1674 375 E5
E5.10.939 69 73 E5
E5.7.690 197 42 E5
E5.41.3306 1280 738 E5
E5.early.31.3068 502 332 E5
E5.11.951 32 230 E5
E5.43.3357 2000 5 E5
E5.12.1037 470 551 E5
E5.16.1912 633 664 E5
E3.3.456 128 64825 E3
E3.48.3397 474 7628 E3
E3.51.3420 20 554 E3
E5.41.3323 568 166 E5
E5.15.1843 1186 108 E5
E5.early.31.3070 402 142 E5
E5.14.1782 427 510 E5
