BCL2L10 ZAR1L C3orf56 BTG4 TUBB8 SH2D1B C9orf116 TMEM132B CA4 FAM19A4 label
E5.5.101 0 0 0 0 0 0 8 0 0 0 E5
E5.5.100 0 0 0 0 0 0 0 0 0 0 E5
E5.2.45 0 0 0 0 0 0 0 0 0 0 E5
E5.3.54 0 0 0 0 0 0 36 0 0 0 E5
E5.2.40 0 0 0 0 0 0 14 0 0 0 E5
E5.2.38 0 0 0 0 0 0 17 0 0 0 E5
E5.3.49 0 0 0 0 0 0 0 0 372 0 E5
E5.3.51 0 0 0 0 0 0 1 0 0 0 E5
E5.2.42 0 0 0 0 0 0 162 0 0 0 E5
E5.3.56 0 0 0 0 0 0 0 0 0 0 E5
E5.3.58 0 0 0 0 12 0 0 0 65 0 E5
E5.2.43 0 0 0 0 0 0 238 0 0 0 E5
E5.3.57 0 0 0 0 0 48 1 0 0 0 E5
E5.3.55 0 0 0 0 0 0 25 0 0 0 E5
E5.3.60 0 0 0 0 2 0 0 0 0 0 E5
E5.2.48 0 0 0 0 0 0 0 0 0 0 E5
E5.2.46 0 0 0 0 0 0 3 0 0 0 E5
E5.5.93 0 0 0 0 0 0 0 0 0 2 E5
E5.5.99 0 0 0 0 0 0 8 0 0 0 E5
E5.2.47 0 0 0 0 0 0 71 0 0 0 E5
E5.3.52 0 0 0 0 0 0 0 0 0 0 E5
E5.3.50 0 0 0 0 10 0 0 0 0 0 E5
E5.3.61 0 0 0 0 1 0 0 0 231 0 E5
E5.5.91 0 0 0 0 0 0 0 0 0 0 E5
E5.5.98 0 0 37 0 0 0 0 0 0 0 E5
E5.5.92 0 0 0 0 0 0 0 0 0 0 E5
E5.2.41 0 0 2 0 0 0 20 0 2 0 E5
E5.5.97 0 0 0 0 0 0 0 0 0 0 E5
E5.5.96 0 0 124 0 0 0 211 0 0 0 E5
E5.5.94 0 0 0 0 0 0 0 0 29 0 E5
E5.3.59 0 0 0 0 0 0 0 0 183 0 E5
E5.5.95 0 0 0 0 0 0 197 0 0 0 E5
E5.1.30 0 0 1 0 0 0 23 0 0 0 E5
E5.1.31 0 1 1 0 0 0 0 0 0 1 E5
E5.1.28 3 0 7 1 0 0 29 0 0 0 E5
E5.1.26 31 59 115 0 76 0 0 0 0 32 E5
E5.1.32 0 121 4 0 0 0 0 0 0 0 E5
E5.6.365 84 0 821 118 358 0 116 0 0 0 E5
E5.6.375 0 66 332 5 216 0 11 0 0 0 E5
E3.1.444 66 21 132 5 594 8 0 32 0 7 E3
E5.6.364 0 0 0 0 0 0 287 0 0 0 E5
E5.6.360 103 0 0 0 0 0 0 0 0 0 E5
E5.6.373 0 0 127 0 0 0 1 0 0 0 E5
E3.4.463 755 1098 3459 378 6764 0 0 263 0 142 E3
E3.2.454 1052 688 1129 217 2453 0 0 179 0 57 E3
E5.6.368 0 0 0 0 0 0 311 0 0 0 E5
E5.6.379 0 5 8 2 9 0 71 0 0 8 E5
E5.6.369 0 0 0 21 10 0 28 0 0 0 E5
E5.6.371 41 0 0 0 0 0 185 0 0 0 E5
E5.6.362 0 0 0 0 7 60 141 0 0 278 E5
E5.6.382 91 0 342 2 99 0 257 0 0 128 E5
E3.3.456 3251 1229 4641 1354 3231 0 0 1338 0 550 E3
E3.1.448 154 112 165 35 817 11 0 44 0 10 E3
E5.6.361 6 0 0 0 34 0 64 0 0 105 E5
E3.2.453 2692 1943 2322 466 6454 263 0 836 0 231 E3
E3.3.457 428 108 1206 39 770 32 0 173 0 59 E3
E3.1.447 223 107 519 6 1496 0 0 54 0 53 E3
E3.2.467 16551 7278 21666 2705 49576 0 0 980 0 455 E3
E3.2.450 424 214 318 62 1323 22 0 205 0 43 E3
E3.3.459 364 140 759 51 883 74 0 110 0 99 E3
E3.2.466 10585 7025 20602 3496 22975 0 0 2857 0 500 E3
E3.2.449 1329 452 1552 437 7385 0 8 333 0 91 E3
E3.4.462 519 771 1902 655 3240 0 0 237 0 72 E3
E3.4.465 1141 1158 3874 526 7742 16 5 183 0 203 E3
E3.1.445 251 226 485 92 1705 121 0 64 0 70 E3
E3.1.443 184 36 451 26 1329 0 0 74 0 7 E3
E3.3.458 498 69 869 156 1364 49 3 67 0 210 E3
E3.2.455 3185 1660 1835 667 5368 0 0 935 0 649 E3
E5.6.363 0 0 105 0 93 0 169 0 0 0 E5
E3.3.460 1352 574 3491 166 4354 82 10 421 0 299 E3
E5.6.372 27 0 112 0 0 0 24 0 0 0 E5
E3.2.452 828 349 641 13 8603 0 0 397 0 1 E3
E5.13.1750 0 0 0 0 0 0 5 20 48 0 E5
E5.13.1751 0 0 0 0 0 0 2 0 42 0 E5
E5.13.1752 0 0 0 0 0 0 3 0 1 0 E5
E5.13.1753 0 0 22 0 0 0 39 0 29 0 E5
E5.13.1754 0 0 1 0 1 1 6 0 3 0 E5
E5.13.1755 0 0 0 0 0 35 41 1 17 0 E5
E5.13.1756 0 0 0 0 0 0 3 0 8 0 E5
E5.13.1757 0 0 0 0 0 26 44 0 12 0 E5
E5.13.1758 0 0 0 0 0 0 2 0 0 0 E5
E5.13.1759 0 0 0 0 0 63 74 0 0 0 E5
E5.13.1760 0 0 0 0 0 0 57 0 0 0 E5
E5.13.1761 0 0 14 0 0 0 103 0 0 0 E5
E5.13.1762 21 0 222 138 155 0 0 0 0 0 E5
E5.13.1763 0 0 6 17 1 0 29 0 0 0 E5
E5.13.1764 0 0 0 0 0 11 26 0 32 0 E5
E5.13.1765 0 0 1 0 0 0 0 0 13 0 E5
E5.13.1766 0 0 0 0 0 0 8 0 0 0 E5
E5.13.1767 0 0 0 0 0 0 0 0 0 0 E5
E5.13.1768 0 0 0 0 0 0 6 0 57 0 E5
E5.13.1769 0 0 0 0 0 0 0 0 0 0 E5
E5.13.1770 0 0 0 0 0 0 40 0 0 0 E5
E5.13.1771 0 0 0 0 2 0 14 0 44 0 E5
E5.13.1773 0 0 0 0 0 183 13 0 85 0 E5
E5.13.1774 0 0 0 1 0 0 4 0 1 0 E5
E5.13.1775 0 0 0 0 0 19 33 0 0 0 E5
E5.13.1776 0 0 10 0 0 4 38 0 5 0 E5
E5.13.1777 0 0 0 0 0 0 3 0 26 0 E5
E5.13.1778 0 0 0 0 0 1 26 0 0 0 E5
E5.13.1779 0 0 0 0 0 0 0 0 0 0 E5
E5.13.1780 0 0 1 0 0 77 4 0 0 0 E5
E5.13.1781 0 0 0 0 0 0 6 0 0 0 E5
E5.14.1782 0 0 0 0 0 3 0 0 245 0 E5
E5.14.1783 0 0 0 0 0 42 0 0 0 0 E5
E5.14.1784 0 0 0 0 0 0 24 0 762 0 E5
E5.14.1785 0 0 0 0 0 5 3 0 5 0 E5
E5.14.1786 0 0 0 0 0 0 12 0 32 0 E5
E5.14.1787 0 0 0 0 1 0 11 0 0 0 E5
E5.14.1788 0 0 0 0 0 0 28 0 8 0 E5
E5.14.1789 0 0 0 0 0 8 80 0 158 22 E5
E5.14.1790 0 0 0 0 40 0 16 0 23 0 E5
E5.14.1791 0 0 0 0 0 0 0 0 0 0 E5
E5.14.1792 0 0 0 0 0 0 0 0 1 0 E5
E5.14.1793 0 0 0 0 0 0 79 0 75 0 E5
E5.14.1794 0 0 2 0 0 59 0 0 2 0 E5
E5.14.1795 0 0 0 0 0 27 16 0 25 1 E5
E5.14.1797 0 0 0 0 0 0 14 0 0 0 E5
E5.14.1798 0 0 0 0 82 0 0 0 0 0 E5
E5.14.1802 32 0 0 0 0 0 23 0 0 0 E5
E5.14.1806 0 0 0 0 0 55 0 0 128 0 E5
E5.14.1807 0 0 0 0 0 0 0 0 0 0 E5
E5.14.1808 0 0 0 0 0 0 4 0 0 0 E5
E5.14.1811 0 0 0 0 0 0 0 0 176 43 E5
E5.14.1812 0 0 0 0 0 0 0 0 8 0 E5
E5.14.1813 0 0 0 0 0 733 48 0 359 0 E5
E5.15.1820 0 4 1 0 1 0 3 0 0 0 E5
E5.15.1821 0 0 0 0 0 0 0 0 0 0 E5
E5.15.1822 0 0 0 0 0 0 0 0 0 0 E5
E5.15.1823 0 0 0 0 0 0 0 0 0 0 E5
E5.15.1824 0 0 1 0 25 0 0 0 0 0 E5
E5.15.1825 0 0 9 0 14 0 0 24 0 0 E5
E5.15.1826 0 0 0 0 3 0 0 0 0 0 E5
E5.15.1827 82 0 82 0 145 0 44 0 0 0 E5
E5.15.1828 0 0 21 0 1 0 0 0 0 0 E5
E5.15.1829 0 0 0 0 0 0 0 0 0 0 E5
E5.15.1830 0 0 1 0 7 0 0 0 0 3 E5
E5.15.1831 0 50 0 0 23 0 0 0 0 0 E5
E5.15.1834 0 0 0 1 7 0 13 0 0 0 E5
E5.15.1835 0 0 0 0 3 0 11 1 0 0 E5
E5.15.1836 0 0 73 0 0 0 72 0 0 0 E5
E5.15.1837 0 0 1 16 0 0 28 0 0 0 E5
E5.15.1838 0 0 0 13 10 0 23 0 0 0 E5
E5.15.1839 0 0 4 0 0 0 0 0 0 0 E5
E5.15.1840 0 0 0 0 0 0 10 0 0 0 E5
E5.15.1841 0 0 0 0 0 0 0 0 0 0 E5
E5.15.1842 0 0 0 0 8 0 8 0 0 0 E5
E5.15.1843 0 0 0 0 0 0 23 0 0 20 E5
E5.15.1844 0 0 0 0 0 0 68 0 0 0 E5
E5.15.1845 0 0 0 0 0 0 60 0 0 0 E5
E5.early.36.3215 0 0 0 0 0 0 0 0 0 0 E5
E5.early.36.3216 0 0 0 0 0 0 11 0 0 0 E5
E5.early.36.3217 0 0 0 0 1 0 56 0 0 0 E5
E5.early.36.3227 0 0 0 0 1 0 0 0 0 0 E5
E5.37.3234 0 0 0 0 0 0 25 0 0 0 E5
E5.early.36.3223 0 0 0 0 0 0 49 0 0 0 E5
E5.early.36.3224 0 26 0 2 6 0 349 0 0 0 E5
E5.early.36.3221 0 0 0 0 0 0 74 0 0 0 E5
E5.early.36.3218 21 7 0 0 53 0 202 0 0 0 E5
E5.37.3240 0 0 0 0 0 0 0 0 2 0 E5
E5.37.3242 0 0 0 0 0 0 0 0 123 0 E5
E5.37.3232 0 0 0 0 0 0 1 0 0 0 E5
E5.early.36.3219 0 0 0 0 1 0 0 0 0 0 E5
E5.early.36.3226 33 2 0 0 3 0 36 0 0 0 E5
E5.early.36.3225 0 0 0 0 1 0 47 0 0 0 E5
E5.37.3243 0 0 0 0 0 0 0 0 152 0 E5
E5.early.36.3222 0 0 0 0 28 0 67 2 0 0 E5
E5.early.36.3220 0 0 0 0 0 0 175 0 0 0 E5
E5.37.3246 0 0 0 0 0 0 0 0 133 0 E5
E5.39.3274 0 0 0 0 0 2 0 0 0 0 E5
E5.37.3235 0 0 0 0 0 0 0 0 0 0 E5
E5.37.3239 0 0 0 0 0 119 6 0 21 0 E5
E5.38.3255 0 0 0 0 0 0 3 0 0 0 E5
E5.39.3266 0 0 0 0 0 0 0 0 0 0 E5
E5.37.3231 0 0 0 0 0 0 417 0 0 0 E5
E5.40.3282 0 0 0 0 82 3505 0 0 0 0 E5
E5.37.3247 0 0 0 0 0 0 0 0 474 0 E5
E5.40.3290 0 0 0 0 0 1 0 0 0 0 E5
E5.early.36.3228 0 15 0 0 0 0 0 0 0 0 E5
E5.37.3253 0 0 0 0 0 0 0 0 392 0 E5
E5.37.3237 0 0 0 0 0 0 0 0 0 0 E5
E5.39.3262 0 0 0 0 2 0 0 0 0 0 E5
E5.40.3289 0 0 0 0 0 61 0 0 44 0 E5
E5.40.3281 0 0 0 0 0 276 0 0 0 0 E5
E5.39.3269 0 0 0 0 0 0 1 0 0 0 E5
E5.38.3256 0 0 0 0 5 0 16 2 0 0 E5
E5.37.3245 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3285 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3278 0 0 0 0 0 0 0 0 0 0 E5
E5.39.3263 0 0 0 0 0 0 1 1 0 0 E5
E5.40.3298 0 1 0 0 0 928 0 0 2 0 E5
E5.40.3287 0 0 0 0 0 366 0 0 0 0 E5
E5.40.3286 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3279 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3288 0 0 0 0 0 1 0 0 0 0 E5
E5.40.3292 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3297 0 0 0 0 0 2503 126 0 455 0 E5
E5.40.3291 0 0 0 0 3 1 63 0 0 0 E5
E5.39.3267 0 0 0 0 0 0 23 0 0 0 E5
E5.40.3283 0 0 0 0 0 1 0 0 0 0 E5
E5.40.3293 0 0 0 0 0 100 1 0 127 0 E5
E5.40.3304 0 0 0 0 4 1 0 0 0 0 E5
E5.40.3284 0 0 0 0 0 0 0 0 0 0 E5
E5.40.3302 0 0 0 0 9 0 0 0 0 0 E5
